ID,Country,Name,Product,Electric capacity,zone_el,Demand price
PtX20DK,DK,Power2Met,Methanol,0.25,DK1,80.27280737
PtX21DK,DK,HyBALANCE,Hydrogen,0.257813263,DK1,39.09214332
PtX22DK,DK,P2GBiocat  Continued Ref 508,Methane,0.5,DK2,11.35180985
PtX23DK,DK,H2 Logic HRS with onsite electrolysis Aalborg,Hydrogen,7.40E-02,DK1,46.7113643
PtX24DK,DK,H2 Logic HRS with onsite electrolysis in Vejle,Hydrogen,7.40E-02,DK1,41.06230298
PtX25DK,DK,H2 Logic HRS with onsite electrolysis Holstebro,Hydrogen,7.40E-02,DK1,38.81737669
PtX26DK,DK,H2 Logic 3 HRS with onsite electrolysis in Copenhagen,Hydrogen,0.222086331,DK2,44.92460301
PtX27DK,DK,H2RES  Orsted offshore wind,Hydrogen,0.343751017,DK1,39.93517911
PtX28DK,DK,HRS Aalborg,Hydrogen,4.30E-02,DK1,47.56500977
PtX29DK,DK,Green lab skive Phase I,Methanol,6,DK1,76.97797967
PtX30DK,DK,REDDAP  REnewable Distributed  Dynamic Ammonia Plant,Ammonia,10,DK1,26.68244699
PtX31DK,DK,HySynergy phase 1,Hydrogen,3.437510172,DK1,44.79460459
PtX32DK,DK,Green Fuels for Denmark  Phase 1,Hydrogen,1.718755086,DK1,47.82089661
PtX33DK,DK,Green lab skive Phase II,Methanol,18,DK1,79.61640501
PtX34DK,DK,Green CCU Hub Aalborg,Methanol,120,DK1,81.23072611
PtX35DK,DK,European Energy phase I,Hydrogen,0.515626526,DK1,47.20621363
PtX36DK,DK,European Energy phase II,Hydrogen,1.546879577,DK1,42.82072708
PtX37DK,DK,Port of Aabenraa Methanol,Methanol,60,DK1,69.95887591
PtX38DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK2,43.19067923
PtX39DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK2,43.19067923
PtX40DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK2,43.19067923
PtX41DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK2,43.19067923
PtX42DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK2,43.19067923
PtX43DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK2,43.19067923
PtX44DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX45DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX46DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX47DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX48DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX49DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX50DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX51DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX52DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX53DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX54DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX55DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX56DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX57DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX58DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX59DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX60DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX61DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX62DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX63DK,DK,New electrolysis50772564097367265507639310071,Hydrogen,171.8755086,DK1,43.19067923
PtX1DE,DE,Apex Energy RostockLaage,Hydrogen,0.245315191,DELU,45.42142381
PtX2DE,DE,Leuchtturmprojekt PowertoGas BadenWurttemberg,Hydrogen,0.159454874,DELU,42.03130471
PtX3DE,DE,eFarm 5 production sites in North Frisia,Hydrogen,0.137989795,DELU,36.62881317
PtX4DE,DE,Wyhlen hydroelectric power plant,Hydrogen,0.159454874,DELU,46.34178236
PtX5DE,DE,GrInHy20,Hydrogen,8.59E-02,DELU,53.99960496
PtX6DE,DE,PFI  PirmasensWinzeln,Methane,2.5,DELU,16.4802262
PtX7DE,DE,MEFCO2,Methanol,1,DELU,73.77402517
PtX8DE,DE,Windgas Haurup 2nd phase,Hydrogen,0.122657596,DELU,46.01178162
PtX9DE,DE,Stromluckenfuller 2nd phase,Hydrogen,2.45E-02,DELU,42.91920483
PtX10DE,DE,Kopernikus,Hydrogen,1.23E-03,DELU,46.39780804
PtX11DE,DE,Falkenhagen STOREGO,Methane,1,DELU,16.55825975
PtX12DE,DE,Localhy,Hydrogen,0.122657596,DELU,38.12174547
PtX13DE,DE,Wind to Gas Sudermarsch,Hydrogen,0.29437823,DELU,39.21988056
PtX14DE,DE,Carbon2Chem,Hydrogen,0.245315191,DELU,44.39992369
PtX15DE,DE,H2ORIZON,Hydrogen,9.81E-02,DELU,40.88958746
PtX16DE,DE,Windgas Haurup 1st phase,Hydrogen,2.76E-02,DELU,36.48223407
PtX17DE,DE,Methanation at Eichhof,Methane,0.05,DELU,11.34620565
PtX18DE,DE,Rostock Exytron Demonstrationsanlage,Methane,0.0184,DELU,9.10520106
PtX19DE,DE,MicroPyros Altenstant,Methane,0.001125,DELU,14.79401214
PtX20DE,DE,Alzey Exytron NullE,Hydrogen,7.67E-03,DELU,46.05093703
PtX21DE,DE,Energy in the Container Fraunhofer IISB Erlangen Leistungszentren Elektroniksysteme LZE,Hydrogen,0.122657596,DELU,37.93757406
PtX22DE,DE,Hassfurt,Hydrogen,0.153321995,DELU,38.7330085
PtX23DE,DE,GreenHydroChem Central German Chemical Triangle,Hydrogen,14.71891148,DELU,38.5303441
PtX24DE,DE,HPEM2GAS RD,Hydrogen,2.45E-02,DELU,40.42602367
PtX25DE,DE,Hamburg  Schnackenburgallee,Hydrogen,2.27E-02,DELU,44.72644787
PtX26DE,DE,smart grid solar  arzberg,Hydrogen,9.20E-03,DELU,36.58158963
PtX27DE,DE,WindGas HamburgReitbrook,Hydrogen,0.183986393,DELU,38.62311764
PtX28DE,DE,RH2 Grapzow Mecklenburg Vorpommern,Hydrogen,0.122657596,DELU,43.53110018
PtX29DE,DE,RWE PtG plant Ibbenburen,Hydrogen,1.84E-02,DELU,41.71012172
PtX30DE,DE,Stromluckenfuller 1st phase,Hydrogen,2.45E-03,DELU,38.15235618
PtX31DE,DE,Emden II Upscaling,Methane,1,DELU,11.61544562
PtX32DE,DE,H2BER Berlin airport,Hydrogen,6.13E-02,DELU,46.39185041
PtX33DE,DE,Hanau Wolfgang Industrial Park,Hydrogen,2.55E-03,DELU,42.86391262
PtX34DE,DE,MicroPyros Staubing,Methane,1,DELU,15.41709476
PtX35DE,DE,ETOGAS Solar Fuel Betaplant AUDI Werlte Audi egas,Methane,6.3,DELU,16.50444259
PtX36DE,DE,WindGas Falkenhagen,Hydrogen,0.245315191,DELU,41.85162119
PtX37DE,DE,P2G plant Erdgas Schwaben,Hydrogen,0.122657596,DELU,38.63617448
PtX38DE,DE,CO2RRECTNiederaussem,Methane,0.26,DELU,8.792712284
PtX39DE,DE,MicrobEnergy GmbH Schwandorf,Methane,0.18,DELU,10.62497577
PtX40DE,DE,H2Move Fraunhofer ISE,Hydrogen,4.91E-03,DELU,37.81764857
PtX41DE,DE,Refhyne,Hydrogen,1.226575956,DELU,46.09738543
PtX42DE,DE,HR lwerke HamburgNeuhof,Hydrogen,0.613287978,DELU,39.17739875
PtX43DE,DE,H2Herten,Hydrogen,2.02E-02,DELU,43.07886816
PtX44DE,DE,H2 research center BTU Cottbus,Hydrogen,0.017172063,DELU,44.95308818
PtX45DE,DE,Cotbus,Hydrogen,1.47E-02,DELU,42.4376772
PtX46DE,DE,Eucolino Schwandorf,Hydrogen,1.32E-02,DELU,47.80077578
PtX47DE,DE,Hamburg Hafen City CEP,Hydrogen,7.36E-02,DELU,38.44992857
PtX48DE,DE,Hybrid Power Plant Enertrag Prenzlau,Hydrogen,6.13E-02,DELU,38.93737232
PtX49DE,DE,EnBW H2 station Stuttgart,Hydrogen,3.68E-02,DELU,38.35516654
PtX50DE,DE,Regenerativer Energipark Ostfaliahybrid renewable energy park HREP,Hydrogen,7.36E-04,DELU,48.10817546
PtX51DE,DE,Energiepark Mainz,Hydrogen,0.735945574,DELU,40.27412154
PtX52DE,DE,Hypos  Sunfire,Hydrogen,2.21E-02,DELU,51.57985517
PtX53DE,DE,Westkuste 100 Phase 2,Hydrogen,82.18058908,DELU,45.49991544
PtX54DE,DE,H2 Pilotanlage Lingen phase 1,Hydrogen,1.226575956,DELU,43.97803247
PtX55DE,DE,HySynGas,Methane,50,DELU,13.32254997
PtX57DE,DE,Wunsiedel Energy Park Phase 1,Hydrogen,1.079386842,DELU,37.62802036
PtX58DE,DE,Wunsiedel Energy Park Phase 2,Hydrogen,3.272379546,DELU,44.45732811
PtX59DE,DE,SEE  Storage of electric energy,Methane,0.006,DELU,8.681167437
PtX60DE,DE,RESelyser RD,Hydrogen,1.23E-04,DELU,41.29955594
PtX61DE,DE,DVGWEBI KIT  DemoSNG,Methane,1,DELU,14.27192235
PtX62DE,DE,Emden I Biogas upgrading,Methane,0.312,DELU,7.36659205
PtX63DE,DE,Sunfire PtL demo Fuel1,Hydrogen,4.66E-03,DELU,47.75594453
PtX64DE,DE,Ekolyser RD,Hydrogen,0.122657596,DELU,36.92064255
PtX65DE,DE,LastEISys RD,Hydrogen,0.122657596,DELU,40.29448552
PtX66DE,DE,PtGElektrolyse im MWMastab RD,Methane,0.3,DELU,12.07624416
PtX67DE,DE,BioPower2Gas Allendorf Eder,Hydrogen,3.83E-02,DELU,40.83981435
PtX68DE,DE,Thuga PtG plant FrankfurtMain,Hydrogen,3.68E-02,DELU,46.03317934
PtX69DE,DE,HyFLEETCUTE Hamburg,Hydrogen,0.033853496,DELU,47.46589233
PtX70DE,DE,Dresden,Hydrogen,1.23E-03,DELU,51.07077066
PtX71DE,DE,RegEnKibo Kirchheimbolanden RD,Methane,1,DELU,10.52727501
PtX72DE,DE,ETOGAS Solar Fuel Alphaplant 250 kW ZSW,Methane,0.25,DELU,11.73685622
PtX73DE,DE,HELMETH RD,Methane,0.015,DELU,13.77313372
PtX74DE,DE,GrInHy,Hydrogen,1.84E-02,DELU,53.09677119
PtX75DE,DE,GenHyPEM RD,Hydrogen,4.02E-03,DELU,40.05151147
PtX76DE,DE,WELTEMP Water electrolysis at elevated temperature,Hydrogen,0.122657596,DELU,40.41581564
PtX77DE,DE,MethFuel,Methane,1,DELU,15.62408951
PtX78DE,DE,Power to flex several pilot projects,Hydrogen,0.122657596,DELU,41.66796844
PtX79DE,DE,HYPOS several projects,Hydrogen,0.159454874,DELU,42.53798463
PtX80DE,DE,Wuppertal refuelling station,Hydrogen,0.306643989,DELU,38.78650081
PtX81DE,DE,SALCOS  WindH2 Windwasserstoff Salzgitter,Hydrogen,0.306643989,DELU,46.16177212
PtX82DE,DE,HyWindBalance Oldenburg,Hydrogen,0.122657596,DELU,36.47468332
PtX83DE,DE,HydroHubFenne,Hydrogen,6.500852569,DELU,37.90158179
PtX84DE,DE,Kopernikus 20,Hydrogen,3.07E-02,DELU,47.87276471
PtX85DE,DE,ECO2MET Raffinerie Mitteldeutschland,Methanol,1,DELU,93.66444505
PtX86DE,DE,Bad Lauchstadt energy park,Hydrogen,3.679727869,DELU,46.64277726
PtX87DE,DE,Etzel Salt caverns,Hydrogen,0.122657596,DELU,47.07570131
PtX88DE,DE,SteagThyssenkrupp Duisburg steel plant HydrOxy Hub Walsum Phase 1,Hydrogen,19.25724252,DELU,37.54825319
PtX89DE,DE,GET H2 Nukleus phase 2,Hydrogen,12.26575956,DELU,46.20871531
PtX90DE,DE,AquaPrimus AquaVentus phase 1 Heligoland,Hydrogen,3.434412678,DELU,40.88058281
PtX91DE,DE,Linde Leuna Chemical Complex,Hydrogen,2.943782295,DELU,43.19799907
PtX92DE,DE,Hamburg Green Hydrogen Hub HGHH project  old Moorburg plant,Hydrogen,12.26575956,DELU,45.33446473
PtX93DE,DE,Green Hydrogen Esslingen P2G2P,Hydrogen,6.13E-02,DELU,45.48439481
PtX94DE,DE,Refhyne II,Hydrogen,12.26575956,DELU,44.66329904
PtX95DE,DE,Wilhelmshaven  phase 1,Hydrogen,8.586031695,DELU,41.51458378
PtX96DE,DE,HRS Bremervrde  trains,Hydrogen,0.477767414,DELU,38.88182668
PtX97DE,DE,ArcelorMittal Bremen  HyBit,Hydrogen,1.226575956,DELU,38.42552016
PtX98DE,DE,RHYME,Hydrogen,2.453151913,DELU,40.65714757
PtX100DE,DE,HyMAT SH,Hydrogen,1.226575956,DELU,43.60175097
PtX101DE,DE,We4PUR,Hydrogen,3.066439891,DELU,41.99867057
PtX103DE,DE,Green Energy Hub Helmstedt,Methanol,20,DELU,82.5099072
PtX104DE,DE,Speicherstadt Kerpen,Hydrogen,0.122657596,DELU,42.29524613
PtX105DE,DE,Element One Element Eins phase 3,Methane,232.8170867,DELU,16.80373652
PtX106DE,DE,Herten HRS,Hydrogen,0.35996175,DELU,43.12390176
PtX107DE,DE,HYBAYERN,Hydrogen,0.352353468,DELU,43.09165167
PtX108DE,DE,Hyways for future total,Hydrogen,0.650498709,DELU,41.35848206
PtX109DE,DE,Norddeutsches Reallabor  Living Lab Northern Germany,Hydrogen,5.972092672,DELU,43.93387041
PtX110DE,DE,Rostock  RWE  HyTechHafenRostock,Hydrogen,12.26575956,DELU,42.10628912
PtX111DE,DE,SmartQuart project  Kaisersesch ,Hydrogen,0.122657596,DELU,38.5823719
PtX113DE,DE,Hy4Chem  BASF Ludwigshafen,Hydrogen,6.623510165,DELU,46.13397432
PtX114DE,DE,Hydrogen Lab Bremerhaven phase 1,Hydrogen,0.122657596,DELU,45.78707444
PtX116DE,DE,Hydrogen Lab Leuna phase 1,Methanol,1,DELU,96.25901947
PtX117DE,DE,Hydrogen Lab Leuna phase 2,Hydrogen,0.490630383,DELU,46.23051624
PtX118DE,DE,Hydrogen Lab Gorlitz,Hydrogen,0.245315191,DELU,41.55449651
PtX120DE,DE,IPCEI Blue Danube  first project,Hydrogen,2.453151913,DELU,45.2073706
PtX121DE,DE,BayH2 Project  Bayern Oil Refinery,Hydrogen,0.122657596,DELU,44.45128644
PtX122DE,DE,AquaSector,Hydrogen,33.36286601,DELU,46.98949133
PtX123DE,DE,H2Mare,Hydrogen,1.717206339,DELU,41.83202595
PtX124DE,DE,Trailblazer  SiemensAir Liquide Oberhausen Phase 1,Hydrogen,2.453151913,DELU,43.76317235
PtX125DE,DE,Trailblazer  SiemensAir Liquide Oberhausen Phase 2,Hydrogen,1.226575956,DELU,37.2269787
PtX126DE,DE,Wintershall Dea  VNG Turquoise H2 project,Hydrogen,0.122657596,DELU,38.78428035
PtX127DE,DE,ArcelorMittal Hamburg,Hydrogen,6.132879782,DELU,42.03931013
PtX128DE,DE,Fairfuel Atmosfair,Hydrogen,0.159454874,DELU,38.68320792
PtX129DE,DE,Concrete Chemicals  I,Methanol,51.68539326,DELU,80.78351177
PtX130DE,DE,Concrete Chemicals  II,Methanol,3,DELU,89.63389271
PtX131DE,DE,EON H2Ruhr wind exports from Italy,Hydrogen,2.453151913,DELU,48.04135336
PtX132DE,DE,Steinbeis Innovation Center Braunschweig,Hydrogen,0.122657596,DELU,42.51153166
PtX133DE,DE,INEOS Kln site,Hydrogen,12.26575956,DELU,41.85152572
PtX134DE,DE,Wilhelmshaven  phase 2,Hydrogen,41.70358252,DELU,40.58503548
PtX135DE,DE,GET H2 Nukleus phase 3,Hydrogen,12.26575956,DELU,38.9923291
PtX137DE,DE,LhyfeEnerparc Luckau project,Hydrogen,0.613287978,DELU,38.8822026
PtX139DE,DE,H2ercules,Hydrogen,122.6575956,DELU,43.31320018
PtX140DE,DE,H2 Pilotanlage Lingen phase 2,Hydrogen,0.490630383,DELU,41.29348566
PtX141DE,DE,GET H2 Nukleus phase 1,Hydrogen,12.26575956,DELU,38.45282603
PtX142DE,DE,Wilheimshaven Energy Hub BlueHyNow,Hydrogen,0.122657596,DELU,41.07343904
PtX144DE,DE,EnZaH2,Hydrogen,0.122657596,DELU,42.88463855
PtX145DE,DE,HH2 Europe,Hydrogen,0.122657596,DELU,47.50463288
PtX148DE,DE,GreenMotionSteel,Hydrogen,14.71891148,DELU,38.38667261
PtX149DE,DE,CHESS,Hydrogen,3.679727869,DELU,45.40603006
PtX150DE,DE,PROMETHEAN,Hydrogen,6.623510165,DELU,45.74937967
PtX151DE,DE,HyKero,Hydrogen,36.36815387,DELU,45.87206309
PtX152DE,DE,H2Agrar,Hydrogen,0.245315191,DELU,47.12212802
PtX153DE,DE,Flughafen RostockLaage PtX,Hydrogen,0.122657596,DELU,47.14861747
PtX154DE,DE,Waste to hydrogen Boson Energy BEH2X Wood SWG,Hydrogen,0.122657596,DELU,38.92442959
PtX155DE,DE,Waste to hydrogen Boson Energy BEH2X DE,Hydrogen,0.122657596,DELU,40.34794306
PtX156DE,DE,Hyways for future 1st hub,Hydrogen,0.245315191,DELU,44.17455424
PtX157DE,DE,H2 Emden Electrolyzer phase 1,Hydrogen,1.226575956,DELU,48.11298
PtX158DE,DE,Referenzkraftwerk Lausitz,Hydrogen,0.818094887,DELU,43.14965923
PtX160DE,DE,HH2E  Met Northeast Germany phase 1,Hydrogen,12.26575956,DELU,38.6093581
PtX161DE,DE,HH2E  Met Northeast Germany phase 2,Hydrogen,122.6575956,DELU,42.11412338
PtX162DE,DE,SALCOS  first expansion  phase 1,Hydrogen,12.26575956,DELU,41.04928932
PtX163DE,DE,Nordsee Two Offshore Wind Farm,Hydrogen,0.490630383,DELU,42.6272231
PtX164DE,DE,Ineratec PtX plant in Frankfurt,Hydrogen,1.818407694,DELU,40.74942941
PtX165DE,DE,Synhelion,Hydrogen,0.122657596,DELU,41.5872495
PtX167DE,DE,Jangada,Hydrogen,9.199319673,DELU,45.70381752
PtX168DE,DE,Wyhlen hydroelectric power plant expansion,Hydrogen,0.521063512,DELU,46.35278012
PtX169DE,DE,Wilhelmshaven  VoltH2,Hydrogen,12.26575956,DELU,40.88460755
PtX170DE,DE,TES Green Energy Hub  Wilhelmshaven Port,Hydrogen,61.32879782,DELU,41.73788188
PtX171DE,DE,H2GE Rostock,Hydrogen,0.122657596,DELU,41.95328623
PtX172DE,DE,Hy2B plant in Pfeffenhausen,Hydrogen,0.613287978,DELU,47.04831614
PtX173DE,DE,EWE  Clean Hydrogen Coastline project Bremen,Hydrogen,6.132879782,DELU,46.42715926
PtX174DE,DE,Borna Hydrogen Plant phase 1,Hydrogen,12.26575956,DELU,38.89422151
PtX175DE,DE,Borna Hydrogen Plant phase 2,Hydrogen,110.3918361,DELU,40.48186349
PtX178DE,DE,Lhyfe BadeWurtemberg,Hydrogen,1.226575956,DELU,38.58036901
PtX179DE,DE,Electrolysis Corridor East Germany H2 Corridor,Hydrogen,25.75809509,DELU,41.7524875
PtX180DE,DE,Hydrogen for fuel cell testing and heat recovery,Hydrogen,0.122657596,DELU,45.22803662
PtX181DE,DE,Lhyfe  Schaeffler Group plant in Herzogenaurach,Hydrogen,1.839863935,DELU,44.20228649
PtX182DE,DE,Duisburg Harbor,Hydrogen,2.453151913,DELU,45.64640933
PtX183DE,DE,H2 at Hydro,Hydrogen,6.132879782,DELU,43.99199797
PtX184DE,DE,Apex Lubmin,Hydrogen,73.59455739,DELU,44.79151949
PtX185DE,DE,Lhyfe Perl,Hydrogen,8.586031695,DELU,48.05450749
PtX186DE,DE,Enertrag  PrignitzFalkenhagen industrial park ,Hydrogen,15.94548743,DELU,42.87397839
PtX187DE,DE,H2 project  Profen mine,Hydrogen,11.03918361,DELU,38.77791157
PtX188DE,DE,eSAF plant,Hydrogen,122.6575956,DELU,39.71620468
PtX189DE,DE,H2 project Lubmin  Deutsche ReGas  phase 1,Hydrogen,24.53151913,DELU,41.24899613
PtX190DE,DE,H2 project Lubmin  Deutsche ReGas  phase 2,Hydrogen,36.79727869,DELU,37.02906956
PtX191DE,DE, GET H2 TransHyDE hydrogen project  Lingen,Hydrogen,3.07E-02,DELU,55.23869739
PtX192DE,DE,EWE  Clean Hydrogen Coastline project Emdem,Hydrogen,34.34412678,DELU,41.90456231
PtX193DE,DE,Hunfeld project ,Hydrogen,0.613287978,DELU,38.22366674
PtX194DE,DE,H2 project  AEM Flex electrolyser,Hydrogen,1.47E-02,DELU,38.53926118
PtX195DE,DE,Muhlenerft Industrial Park  Refuelling station,Hydrogen,0.613287978,DELU,40.67765251
PtX196DE,DE,HySCALE 100  IPCEI project Heide refinery,Hydrogen,61.32879782,DELU,46.29156394
PtX198DE,DE,AEM Nexus 1000  Saerbeck,Hydrogen,0.122657596,DELU,44.76056468
PtX199DE,DE,Solarbelt Fairfuel kerosene DEMO plant,Hydrogen,0.15129152,DELU,44.69028945
PtX200DE,DE,Picea systems installed at multiple residential households 500 24 kW,Hydrogen,0.166078385,DELU,46.23544398
PtX202DE,DE,Nautilus,Methanol,85,DELU,73.92310446
PtX203DE,DE,Lhyfe  Brake green hydrogen plant,Hydrogen,1.226575956,DELU,42.48443308
PtX204DE,DE,BadenWurttemberg SAF Demo plant,Hydrogen,18.18407694,DELU,43.07416395
PtX205DE,DE,The Next Gate  P2X Europe,Hydrogen,7.27E-02,DELU,42.93747706
PtX207DE,DE,HYWaiblingen,Hydrogen,0.245315191,DELU,43.69870115
PtX208DE,DE,HYCityBremerhaven,Hydrogen,0.245315191,DELU,46.12984152
PtX209DE,DE,H2Rivers,Hydrogen,1.004677931,DELU,40.8678078
PtX210DE,DE,Grenzland Energie Kompakt,Hydrogen,0.490630383,DELU,43.00557265
PtX211DE,DE,Green H2 Hub Neumunster,Hydrogen,6.132879782,DELU,38.68466169
PtX212DE,DE,Enertrag Magdeburg,Hydrogen,1.226575956,DELU,45.0272127
PtX213DE,DE,SALCOS  Andritz green steel at Salzgitter Flachstahl plant,Hydrogen,12.26575956,DELU,43.83737621
PtX214DE,DE,HydrOxy Hub Walsum Phase 23,Hydrogen,44.52470722,DELU,45.18878838
PtX215DE,DE,Leuna refinery,Hydrogen,3.679727869,DELU,46.91144906
PtX216DE,DE,AEM Nexus 500 for SAF and supply of internal hydrogen lines,Hydrogen,6.13E-02,DELU,37.31734934
PtX217DE,DE,Lhyfe Lubmin,Hydrogen,98.12607651,DELU,43.06101339
PtX218DE,DE,H2 project Coesfeld area,Hydrogen,6.132879782,DELU,39.63317869
PtX219DE,DE,Green Hydrogen Hub Stuttgart GH2S,Hydrogen,1.226575956,DELU,47.00055005
PtX220DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX221DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX222DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX223DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX224DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX225DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX226DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX227DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX228DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX229DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX230DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
PtX231DE,DE,New electrolysis507725640973672467490080467863,Hydrogen,122.6575956,DELU,43.19067923
