Year,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
2031,5980,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3,1034.3
2032,6200,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6,1120.6
2033,6420,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9,1206.9
2034,6640,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2,1293.2
2035,6860,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5,1379.5
2036,7080,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8,1465.8
2037,7300,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1,1552.1
2038,7520,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4,1638.4
2039,7740,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7,1724.7
2040,7960,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
2041,7960,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261,2079.974261
2042,7960,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254,2388.897254
2043,7960,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265,2743.702265
2044,7960,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805,3151.203805
2045,7960,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496,3619.228496
2046,7960,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388,4156.765388
2047,7960,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607,4774.138607
2048,7960,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645,5483.205645
2049,7960,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097,6297.585097
2050,8039.6,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948,6360.560948
2051,8119.996,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557,6424.166557
2052,8201.19596,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223,6488.408223
2053,8283.20792,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305,6553.292305
2054,8366.039999,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228,6618.825228
2055,8449.700399,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348,6685.01348
2056,8534.197403,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615,6751.863615
2057,8619.539377,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251,6819.382251
2058,8705.734771,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074,6887.576074
2059,8792.792118,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835,6956.451835
2060,8880.720039,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353,7026.016353
